t f_inst
0.000000000000000000e+00 1.231235000000000000e+05
1.000500250125062601e-08 1.231235000000000000e+05
2.001000500250125201e-08 1.231235000000000000e+05
3.001500750375187471e-08 1.231235000000000000e+05
4.002001000500250403e-08 1.231235000000000000e+05
5.002501250625313334e-08 1.231235000000000000e+05
6.003001500750374942e-08 1.231235000000000000e+05
7.003501750875437874e-08 1.231235000000000000e+05
8.004002001000500806e-08 1.231235000000000000e+05
9.004502251125563737e-08 1.231235000000000000e+05
1.000500250125062667e-07 1.231235000000000000e+05
1.100550275137568828e-07 1.231235000000000000e+05
1.200600300150074988e-07 1.231235000000000000e+05
1.300650325162581414e-07 1.231235000000000000e+05
1.400700350175087575e-07 1.231235000000000000e+05
1.500750375187594000e-07 1.231235000000000000e+05
1.600800400200100161e-07 1.231235000000000000e+05
1.700850425212606322e-07 1.231235000000000000e+05
1.800900450225112747e-07 1.231235000000000000e+05
1.900950475237618908e-07 1.231235000000000000e+05
2.001000500250125334e-07 6.156175000000000000e+04
2.101050525262631495e-07 6.156175000000000000e+04
2.201100550275137655e-07 6.156175000000000000e+04
2.301150575287644081e-07 6.156175000000000000e+04
2.401200600300149977e-07 6.156175000000000000e+04
2.501250625312656402e-07 6.156175000000000000e+04
2.601300650325162828e-07 6.156175000000000000e+04
2.701350675337669253e-07 6.156175000000000000e+04
2.801400700350175150e-07 6.156175000000000000e+04
2.901450725362681575e-07 6.156175000000000000e+04
3.001500750375188001e-07 6.156175000000000000e+04
3.101550775387693897e-07 6.156175000000000000e+04
3.201600800400200322e-07 6.156175000000000000e+04
3.301650825412706748e-07 6.156175000000000000e+04
3.401700850425212644e-07 6.156175000000000000e+04
3.501750875437719069e-07 6.156175000000000000e+04
3.601800900450225495e-07 6.156175000000000000e+04
3.701850925462731391e-07 6.156175000000000000e+04
3.801900950475237816e-07 6.156175000000000000e+04
3.901950975487744242e-07 6.156175000000000000e+04
4.002001000500250667e-07 6.156175000000000000e+04
4.102051025512756564e-07 6.156175000000000000e+04
4.202101050525262989e-07 6.156175000000000000e+04
4.302151075537769415e-07 6.156175000000000000e+04
4.402201100550275311e-07 6.156175000000000000e+04
4.502251125562781736e-07 6.156175000000000000e+04
4.602301150575288162e-07 6.156175000000000000e+04
4.702351175587794058e-07 6.156175000000000000e+04
4.802401200600299954e-07 6.156175000000000000e+04
4.902451225612806379e-07 6.156175000000000000e+04
5.002501250625312805e-07 6.156175000000000000e+04
5.102551275637819230e-07 6.156175000000000000e+04
5.202601300650325656e-07 6.156175000000000000e+04
5.302651325662832081e-07 6.156175000000000000e+04
5.402701350675338507e-07 6.156175000000000000e+04
5.502751375687843874e-07 6.156175000000000000e+04
5.602801400700350299e-07 6.156175000000000000e+04
5.702851425712856725e-07 6.156175000000000000e+04
5.802901450725363150e-07 6.156175000000000000e+04
5.902951475737869576e-07 6.156175000000000000e+04
6.003001500750376001e-07 6.156175000000000000e+04
6.103051525762881368e-07 6.156175000000000000e+04
6.203101550775387793e-07 6.156175000000000000e+04
6.303151575787894219e-07 6.156175000000000000e+04
6.403201600800400644e-07 6.156175000000000000e+04
6.503251625812907070e-07 6.156175000000000000e+04
6.603301650825413495e-07 6.156175000000000000e+04
6.703351675837919921e-07 6.156175000000000000e+04
6.803401700850425288e-07 6.156175000000000000e+04
6.903451725862931713e-07 6.156175000000000000e+04
7.003501750875438139e-07 6.156175000000000000e+04
7.103551775887944564e-07 6.156175000000000000e+04
7.203601800900450990e-07 6.156175000000000000e+04
7.303651825912957415e-07 6.156175000000000000e+04
7.403701850925462782e-07 6.156175000000000000e+04
7.503751875937969207e-07 6.156175000000000000e+04
7.603801900950475633e-07 6.156175000000000000e+04
