Time(s), Amplitude
0.0049000, -0.0000000
0.0049200, -0.5877853
0.0049400, -0.9510565
0.0049600, -0.9510565
0.0049800, -0.5877853
0.0050000, 0.0000000
0.0050200, 0.5877853
0.0050400, 0.9510565
0.0050600, 0.9510565
0.0050800, 0.5877853
0.0051000, -0.0000000
0.0051200, -0.5877853
0.0051400, -0.9510565
0.0051600, -0.9510565
0.0051800, -0.5877853
0.0052000, 0.0000000
0.0052200, 0.5877853
0.0052400, 0.9510565
0.0052600, 0.9510565
0.0052800, 0.5877853
0.0053000, 0.0000000
0.0053200, -0.5877853
0.0053400, -0.9510565
0.0053600, -0.9510565
0.0053800, -0.5877853
0.0054000, 0.0000000
0.0054200, 0.5877853
0.0054400, 0.9510565
0.0054600, 0.9510565
0.0054800, 0.5877853
0.0055000, -0.0000000
0.0055200, -0.5877853
0.0055400, -0.9510565
0.0055600, -0.9510565
0.0055800, -0.5877853
0.0056000, 0.0000000
0.0056200, 0.5877853
0.0056400, 0.9510565
0.0056600, 0.9510565
0.0056800, 0.5877853
0.0057000, -0.0000000
0.0057200, -0.5877853
0.0057400, -0.9510565
0.0057600, -0.9510565
0.0057800, -0.5877853
0.0058000, 0.0000000
0.0058200, 0.5877853
0.0058400, 0.9510565
0.0058600, 0.9510565
0.0058800, 0.5877853
0.0059000, -0.0000000
0.0059200, -0.5877853
0.0059400, -0.9510565
0.0059600, -0.9510565
0.0059800, -0.5877853
0.0060000, 0.0000000
0.0060200, 0.5877853
0.0060400, 0.9510565
0.0060600, 0.9510565
0.0060800, 0.5877853
0.0061000, 0.0000000
0.0061200, -0.5877853
0.0061400, -0.9510565
0.0061600, -0.9510565
0.0061800, -0.5877853
0.0062000, 0.0000000
0.0062200, 0.5877853
0.0062400, 0.9510565
0.0062600, 0.9510565
0.0062800, 0.5877853
0.0063000, -0.0000000
0.0063200, -0.5877853
0.0063400, -0.9510565
0.0063600, -0.9510565
0.0063800, -0.5877853
0.0064000, 0.0000000
0.0064200, 0.5877853
0.0064400, 0.9510565
0.0064600, 0.9510565
0.0064800, 0.5877853
0.0065000, -0.0000000
0.0065200, -0.5877853
0.0065400, -0.9510565
0.0065600, -0.9510565
0.0065800, -0.5877853
0.0066000, 0.0000000
0.0066200, 0.5877853
0.0066400, 0.9510565
0.0066600, 0.9510565
0.0066800, 0.5877853
0.0067000, -0.0000000
0.0067200, -0.5877853
0.0067400, -0.9510565
0.0067600, -0.9510565
0.0067800, -0.5877853
0.0068000, 0.0000000
0.0068200, 0.5877853
0.0068400, 0.9510565
0.0068600, 0.9510565
0.0068800, 0.5877853
0.0069000, -0.0000000
0.0069200, -0.5877853
0.0069400, -0.9510565
0.0069600, -0.9510565
0.0069800, -0.5877853
0.0070000, 0.0000000
0.0070200, 0.5877853
0.0070400, 0.9510565
0.0070600, 0.9510565
0.0070800, 0.5877853
0.0071000, -0.0000000
0.0071200, -0.5877853
0.0071400, -0.9510565
0.0071600, -0.9510565
0.0071800, -0.5877853
0.0072000, 0.0000000
0.0072200, 0.5877853
0.0072400, 0.9510565
0.0072600, 0.9510565
0.0072800, 0.5877853
0.0073000, -0.0000000
0.0073200, -0.5877853
0.0073400, -0.9510565
0.0073600, -0.9510565
0.0073800, -0.5877853
0.0074000, -0.0000000
0.0074200, 0.5877853
0.0074400, 0.9510565
0.0074600, 0.9510565
0.0074800, 0.5877853
